FoRAGE_ID,Inter_ID,Source,Predation_or_Parasitism,Dim,Field,Habitat,Fresh_or_Marine,Predator_cellularity,Vert_invert_pred,Major_grouping_1_pred,Major_grouping_2_pred,Predator_scientific_name,Predator_type,Trophic_level_predator,Prey_cellularity,Vert_invert_prey,Major_grouping_1_prey,Major_grouping_2_prey,Prey,Prey_scientific_name,Prey_type,Trophic_level_prey,DataOrigin,PreyReplaced,Hours_starved,Temp_C,Interference,PredPerArena,TwoD_Arena_size_cm2,ThreeD_arena_size_cm3,Predator_mass_mg,Predator_mass_source_code,Pred Mass link,Predator_mass_identifier,Prey_mass_mg,Prey_mass_source_code,Prey_mass_identifier,Data_set,Mean_R2_of_fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,Fitted_a_2,Fitted_h_2,CV_ELPD_2,Fitted_a_3_aa,Fitted_h_3_aa,Fitted_k_3_aa,CV_ELPD_3_aa,Fitted_a_3_ref,Fitted_h_3_ref,CV_ELPD_3_ref,Fitted_k_3_ref,REF_over_type2,AA_over_type2,,
1700,1,Chong 2006 BIO CONTROL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Anagyrus sp. nov. nr. sinope,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Madeira mealybug,Phenacoccus madeirensis,Adult female,2,Mean,N,,25,Y,1,,1.57E+02,0.125,,,,6.25E-01,Original species length,1,1705,0.6,197.63,1.01E-03,8.41E-04,1.23E-03,8.77E-02,7.39E-02,1.02E-01,,,0.18,0.08,-88.83,0.36,0.13,841.07,-88.81,0.33,0.15,-88.83,464.75,-5.92E-05,-0.000205342,,
1701,1,Chong 2006 BIO CONTROL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Anagyrus sp. nov. nr. sinope,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Madeira mealybug,Phenacoccus madeirensis,Adult female,2,Mean,N,,25,Y,2,,1.57E+02,0.125,,,,6.25E-01,Original species length,1,1706,0.72,72.41,4.55E-04,4.00E-04,5.07E-04,1.11E-01,9.96E-02,1.22E-01,,,0.01,0.06,-84.54,0.01,0.06,670.52,-84.5,0.01,0.08,-85.24,558.68,0.008215723,-0.00055674,,
1702,1,Chong 2006 BIO CONTROL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Anagyrus sp. nov. nr. sinope,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Madeira mealybug,Phenacoccus madeirensis,Adult female,2,Mean,N,,25,Y,4,,1.57E+02,0.125,,,,6.25E-01,Original species length,1,1707,0.56,15.87,3.98E-04,3.43E-04,4.71E-04,1.81E-01,1.66E-01,1.97E-01,,,0.01,0.02,-74.73,0.02,0.03,1117.93,-74.02,0.01,0.02,-74.35,221.1,-0.005068898,-0.00945451,,
140,2,Crowley and Martin 1989 J N AM BENTHOL SOC,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Tetragoneuria cynosura,2nd year larva,,Metazoan,Invertebrate,Insect,Odonata,Common baskettail,Tetragoneuria cynosura,1st year larva,,Mean,Y,24,25,Y,1,3.22E+02,,3.65E+00,Original length,,2,1.20E-01,Original mass,1,140,0.91,61.75,7.59E-02,6.04E-02,1.01E-01,1.34E-02,1.10E-02,1.61E-02,,,0.01,0.01,-177.07,0.02,0.01,3934.28,-174.45,0.01,0.01,-174.02,1318.52,-0.017217265,-0.014767634,,
141,2,Crowley and Martin 1989 J N AM BENTHOL SOC,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Tetragoneuria cynosura,2nd year larva,,Metazoan,Invertebrate,Insect,Odonata,Common baskettail,Tetragoneuria cynosura,1st year larva,,Mean,Y,24,25,Y,2,3.22E+02,,3.65E+00,Original length,,2,1.20E-01,Original mass,1,141,0.85,59.57,2.61E-02,2.11E-02,3.85E-02,5.08E-03,2.61E-10,2.14E-02,,,0.01,0.02,-84.87,0.01,0.03,1675.43,-83.89,0.01,0.03,-83.97,612.81,-0.010597124,-0.011559491,,
142,2,Crowley and Martin 1989 J N AM BENTHOL SOC,Predator,2,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Tetragoneuria cynosura,2nd year larva,,Metazoan,Invertebrate,Insect,Odonata,Common baskettail,Tetragoneuria cynosura,1st year larva,,Mean,Y,24,25,Y,3,3.22E+02,,3.65E+00,Original length,,2,1.20E-01,Original mass,1,142,0.77,46.98,3.00E-02,1.91E-02,4.72E-02,3.44E-02,1.72E-02,5.03E-02,,,0.01,0.01,-113.82,0.02,0.01,4022.01,-110.65,0.01,0.01,-111.23,1079.82,-0.022762888,-0.027853522,,
3204,3,Cuthbert et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Macrocyclops albidus,non-ovigerous adult female,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,,2,Point,N,24,25,Y,1,,2.00E+01,2.34E-01,Original species mass,,3,2.07E-01,Original species length,14,,0.67,51.61,4.41E-05,2.65E-05,7.20E-05,3.98E-02,2.94E-02,5.67E-02,,,0.03,0.01,-138.79,0.05,0.01,1655.35,-136.8,0.07,0.01,-133.75,1457.81,-0.036264398,-0.014289334,,
3205,3,Cuthbert et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Macrocyclops albidus,non-ovigerous adult female,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,,2,Point,N,24,25,Y,3,,2.00E+01,2.34E-01,Original species mass,,3,2.07E-01,Original species length,14,,0.92,20.12,2.12E-05,1.48E-05,3.01E-05,3.73E-02,2.45E-02,5.84E-02,,,0.02,0.01,-96.53,0.03,0.02,984.22,-95.93,0.05,0.02,-95.03,1324.38,-0.01553494,-0.006186538,,
2355,4,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,1,,4.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2360,0.29,53.73,2.53E-05,5.60E-06,1.19E-04,1.31E-01,9.88E-09,2.59E-01,,,0,0,-491.65,0,0,5675.98,-479.67,0.01,0.01,-413.12,7635.43,-0.15971727,-0.024361146,,
2356,5,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,1,,8.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2361,0.28,49.32,3.42E-05,8.48E-06,1.71E-04,1.44E-01,7.19E-09,3.18E-01,,,0,0.11,-347.98,0,0.14,22144.89,-345.8,0,0.14,-295.03,42564.04,-0.152162738,-0.006284746,,
2357,4,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,2,,4.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2362,0.26,65.46,6.87E-05,3.92E-05,1.22E-04,1.35E-01,9.63E-02,1.98E-01,,,0.01,0.04,-128.04,0.01,0.05,610.47,-127.07,0.02,0.05,-126.79,461.33,-0.009754757,-0.007550103,,
2358,5,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,2,,8.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2363,0.38,60.98,1.04E-04,5.37E-05,1.79E-04,1.21E-01,8.56E-02,1.60E-01,,,0,0.04,-100.24,0,0.05,373.59,-100.76,0,0.04,-101.08,206.19,0.008442433,0.005220717,,
2359,4,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,3,,4.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2364,0.39,62.85,6.17E-05,3.51E-05,9.62E-05,1.08E-01,8.61E-02,1.40E-01,,,0,0.03,-113.06,0,0.05,442.86,-113.5,0,0.06,-113.74,418.22,0.00599838,0.00386818,,
2360,5,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,3,,8.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2365,0.46,61.54,9.56E-05,3.23E-05,1.93E-04,8.84E-02,3.76E-02,1.39E-01,,,0,0.08,-111.39,0.01,0.1,461.56,-111.59,0.01,0.1,-112.1,352.53,0.006341747,0.001788975,,
2361,4,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,4,,4.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2366,0.64,65.97,6.49E-05,4.47E-05,9.26E-05,6.63E-02,5.56E-02,7.71E-02,,,0,0.1,-74.17,0,0.12,555.77,-73.84,0,0.13,-73.95,529.3,-0.002935562,-0.00440817,,
2362,5,Cuthbert et al 2021 ECOL EVOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Copepod,Lovenula raynerae,Adult male,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia pulex,,2,Point,N,24,21,Y,4,,8.00E+01,3.87E+00,Original species length,,1,3.53E-01,Average species mass,16,2367,0.64,72.39,1.00E-04,5.82E-05,1.56E-04,5.68E-02,3.07E-02,8.25E-02,,,0,0.14,-57.74,0,0.16,520.92,-57.32,0,0.16,-57.63,297.52,-0.001962725,-0.007306416,,
3187,6,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,1st instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,5.20E+01,Original species mass,,10,2.00E-02,Original species mass,10,,0.82,41.25,1.22E-04,8.62E-05,1.42E-04,8.48E-10,2.21E-10,6.15E-09,,,0,0.05,-60.99,0,0.07,467.78,-61.27,0,0.08,-61.28,385,0.004700666,0.00446201,,
3191,6,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,1st instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,5.20E+01,Original species mass,,10,2.00E-02,Original species mass,10,,0.64,19.87,8.59E-05,4.22E-05,1.59E-04,6.89E-02,1.18E-08,1.58E-01,,,0,0.1,-80.17,0,0.12,518.99,-79.92,0,0.12,-80.25,451.04,0.000995876,-0.003185802,,
3195,6,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,1st instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,1.53E+02,Original species mass,,2,2.00E-02,Original species mass,10,,0.86,103.02,6.38E-04,5.14E-04,8.57E-04,3.03E-09,1.34E-10,5.46E-03,,,0,0.02,-235.17,0,0.03,40115,-235.75,0,0.03,-235.8,44436.97,0.002678171,0.002476107,,
3199,6,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,1st instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,1.53E+02,Original species mass,,2,2.00E-02,Original species mass,10,,0.86,73.24,3.86E-04,2.93E-04,4.36E-04,3.82E-10,2.45E-11,1.95E-08,,,0.01,0.07,-104.53,0.01,0.08,723.38,-103.87,0.02,0.09,-103.44,701.01,-0.010425299,-0.006303296,,
3188,7,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,2nd instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,5.20E+01,Original species mass,,10,1.20E-01,Original species mass,11,,0.71,56.41,1.17E-04,8.45E-05,1.54E-04,1.85E-09,3.38E-10,1.47E-08,,,0,0.13,-47.97,0,0.16,359.63,-48.87,0,0.16,-48.96,220.89,0.020593374,0.018853253,,
3192,7,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,2nd instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,5.20E+01,Original species mass,,10,1.20E-01,Original species mass,11,,0.79,-61.14,1.80E-05,1.35E-05,4.49E-05,1.04E-01,1.05E-08,5.85E-01,,,0,0.12,-85.25,0,0.14,518.61,-85.19,0,0.15,-85.48,471.99,0.002654119,-0.000793485,,
3196,7,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,2nd instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,1.53E+02,Original species mass,,2,1.20E-01,Original species mass,11,,0.98,57,1.13E-03,9.19E-04,1.28E-03,5.43E-03,1.08E-03,6.64E-03,,,0,0.01,-240.01,0,0.01,40876.62,-240.07,0,0.02,-240.11,45417.09,0.00041175,0.000240666,,
3200,7,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,2nd instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,1.53E+02,Original species mass,,2,1.20E-01,Original species mass,11,,0.99,21.3,5.65E-04,4.91E-04,6.29E-04,7.18E-03,2.13E-03,9.02E-03,,,0,0.1,-80.53,0,0.11,585.8,-80.54,0.01,0.12,-81.22,465.42,0.008481779,0.000105248,,
3189,8,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,3rd instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,5.20E+01,Original species mass,,10,1.40E+00,Original species mass,12,,0.54,20.34,8.43E-05,4.17E-05,1.58E-04,1.28E-01,2.61E-08,2.50E-01,,,0,0.14,-28.66,0,0.18,355.44,-29.63,0,0.18,-29.79,191.79,0.039382555,0.033703317,,
3193,8,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,3rd instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,5.20E+01,Original species mass,,10,1.40E+00,Original species mass,12,,0.67,22.7,5.47E-05,2.84E-05,8.16E-05,6.84E-09,5.72E-10,4.01E-08,,,0,0.08,-78.46,0,0.09,377.15,-78.97,0,0.09,-79.33,205.65,0.011144429,0.006604743,,
3197,8,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,3rd instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,1.53E+02,Original species mass,,2,1.40E+00,Original species mass,12,,0.96,83.16,9.00E-04,7.55E-04,1.20E-03,1.32E-03,1.30E-10,7.82E-03,,,0,0.03,-230.67,0,0.03,40711.1,-231.85,0,0.03,-231.14,44062.89,0.002038935,0.005094328,,
3201,8,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,3rd instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,1.53E+02,Original species mass,,2,1.40E+00,Original species mass,12,,1,-46.95,4.91E-04,4.74E-04,5.21E-04,1.40E-03,4.16E-12,3.24E-03,,,0,0.02,-98.88,0,0.02,94782.99,-97.4,0,0.02,-94.4,54296.79,-0.045344746,-0.014979607,,
3190,9,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,4th instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,5.20E+01,Original species mass,,10,4.80E+00,Original species mass,13,,0.45,42.28,7.10E-05,3.59E-05,1.33E-04,1.36E-08,1.96E-09,3.44E-01,,,0,0.4,1.89,0,0.49,533.98,1.97,0,0.55,1.73,560.74,-0.081015179,0.04586436,,
3194,9,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Amphipod,Gammarus pulex,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,4th instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,5.20E+01,Original species mass,,10,4.80E+00,Original species mass,13,,0.55,0.95,5.91E-05,2.59E-05,1.25E-04,1.74E-01,1.27E-08,3.75E-01,,,0,0.11,-94.63,0,0.12,390.46,-95.11,0,0.12,-95.56,215.16,0.009768354,0.005000216,,
3198,9,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,4th instar larvae,2,Point,N,24,18,Y,1,,9.50E+02,1.53E+02,Original species mass,,2,4.80E+00,Original species mass,13,,0.77,100.58,1.14E-03,5.24E-04,1.70E-03,1.55E-02,7.40E-09,2.67E-02,,,0,0.02,-251,0,0.03,37549.53,-251.83,0,0.02,-251.68,39424.14,0.002701191,0.003312726,,
3202,9,Dalal et al 2020 ECOL ENTO,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta glauca,,3,Metazoan,Invertebrate,Insect,Diptera,,Culex pipiens,4th instar larvae,2,Point,N,24,18,Y,2,,9.50E+02,1.53E+02,Original species mass,,2,4.80E+00,Original species mass,13,,0.91,57.93,6.64E-04,5.21E-04,8.01E-04,1.86E-02,7.74E-03,2.74E-02,,,0,0.03,-101.7,0,0.03,70971.09,-101.68,0,0.03,-100.74,35977.73,-0.009428746,-0.000215542,,
2235,10,Geden and Axtell 1988 ENV ENT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Carcinops pumilio,,,Metazoan,Invertebrate,Insect,Diptera,,Musca domestica,,,Mean,N,24,27,Y,5,2.83E+01,,3.6,,"https://edis.ifas.ufl.edu/publication/IN1163#:~:text=Adult%20Carcinops%20pumilio%20are%20small,in)%20(Hinton%201945).",,0.138,,1,2240,0.88,25.16,5.10E-04,4.00E-04,6.29E-04,4.91E-02,3.03E-02,6.20E-02,,,0,0.07,-51.85,0,0.08,59141.08,-52.23,0,0.08,-51.65,24443.25,-0.003910423,0.007288287,,
2236,10,Geden and Axtell 1988 ENV ENT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Carcinops pumilio,,,Metazoan,Invertebrate,Insect,Diptera,,Musca domestica,,,Mean,N,24,27,Y,20,2.83E+01,,3.6,,"https://edis.ifas.ufl.edu/publication/IN1163#:~:text=Adult%20Carcinops%20pumilio%20are%20small,in)%20(Hinton%201945).",,0.136,,1,2241,0.95,-98.44,1.89E-04,1.65E-04,2.12E-04,1.96E-01,1.58E-01,2.34E-01,,,0,0.59,-49.29,0,1.15,91103.31,-49.59,0,0.89,-49.24,48998.57,-0.0009204,0.006141528,,
2237,11,Geden and Axtell 1988 ENV ENT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Macrocheles muscaedomesticae,,,Metazoan,Invertebrate,Insect,Diptera,,Musca domestica,,,Mean,N,24,27,Y,5,2.83E+01,,0.235,,,,0.138,,1,2242,0.9,-60.68,6.52E-04,4.91E-04,8.08E-04,2.02E-01,1.38E-01,2.46E-01,,,0,0.05,-60.74,0,0.06,87235.18,-60.91,0,0.06,-61.02,47954.28,0.004658531,0.002951943,,
2238,11,Geden and Axtell 1988 ENV ENT,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Macrocheles muscaedomesticae,,,Metazoan,Invertebrate,Insect,Diptera,,Musca domestica,,,Mean,N,24,27,Y,20,2.83E+01,,0.235,,,,0.138,,1,2243,0.8,-141.82,3.02E-04,2.37E-04,3.73E-04,1.39E+00,1.20E+00,1.59E+00,,,0,0.04,-80.79,0,0.05,158073.36,-79.31,0,0.05,-79.67,59987.99,-0.01388594,-0.018293781,,
1675,12,Griffen and Delaney 2007 Ecology,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Mean,N,,,Y,1,3.00E+03,,8.24E+04,Alternate species length,,1,2.39E+00,Average species mass,3,1680,0.54,138.8,2.45E-01,1.44E-01,4.43E-01,2.70E-02,5.12E-09,4.75E-02,40-60 mm CW,,0,0.02,-75.82,0,0.03,148326.32,-75.31,0,0.02,-75.78,40307.56,-0.000505462,-0.006748619,,
1676,12,Griffen and Delaney 2007 Ecology,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Mean,N,,,Y,2,3.00E+03,,8.24E+04,Alternate species length,,1,2.39E+00,Average species mass,3,1681,0.73,87.43,1.28E-01,9.95E-02,1.59E-01,2.96E-02,1.50E-02,4.15E-02,,,0,0.03,-76.18,0,0.03,182727.46,-75.46,0,0.03,-76.08,92394.17,-0.001224535,-0.009442192,,
1677,12,Griffen and Delaney 2007 Ecology,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus maenas,Adult,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Mean,N,,,Y,4,3.00E+03,,8.24E+04,Alternate species length,,1,2.39E+00,Average species mass,3,1682,0.55,71.21,6.54E-02,4.62E-02,1.03E-01,5.78E-02,9.01E-09,1.11E-01,,,0,0.02,-78.66,0,0.03,168165.43,-78.04,0,0.03,-78.68,95072.12,0.000223551,-0.007967487,,
1678,13,Griffen and Delaney 2007 Ecology,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Hemigrapsus sanguineus,Adult,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Mean,N,,,Y,1,3.00E+03,,1.65E+04,,"https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=183#:~:text=Size%3A%20Adults%20range%20from%2035,Kong%2C%20and%20the%20Japanese%20archipelago.",,2.39E+00,Average species mass,3,1683,0.39,105.75,5.88E-02,4.08E-02,1.09E-01,3.07E-02,4.73E-09,9.44E-02,25-33 mm CW,,0.01,0.02,-178.94,0.01,0.03,962.02,-177.28,0.01,0.03,-176.59,833.8,-0.013147352,-0.009281841,,
1679,13,Griffen and Delaney 2007 Ecology,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Hemigrapsus sanguineus,Adult,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Mean,N,,,Y,2,3.00E+03,,1.65E+04,,"https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=183#:~:text=Size%3A%20Adults%20range%20from%2035,Kong%2C%20and%20the%20Japanese%20archipelago.",,2.39E+00,Average species mass,3,1684,0.47,65.89,6.41E-02,4.32E-02,8.98E-02,8.88E-02,2.01E-02,1.35E-01,,,0.01,0.01,-194.02,0.01,0.02,890.53,-192.88,0.01,0.02,-192.03,865.24,-0.01026712,-0.005892385,,
1680,13,Griffen and Delaney 2007 Ecology,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Hemigrapsus sanguineus,Adult,,Metazoan,Invertebrate,Mollusk,Bivalve,Blue mussel,Mytilus edulis,Adult,,Mean,N,,,Y,4,3.00E+03,,1.65E+04,,"https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=183#:~:text=Size%3A%20Adults%20range%20from%2035,Kong%2C%20and%20the%20Japanese%20archipelago.",,2.39E+00,Average species mass,3,1685,0.65,27.89,2.41E-02,1.91E-02,3.48E-02,2.76E-03,5.17E-10,8.00E-02,,,0.01,0.01,-190.05,0.01,0.02,827.58,-189.62,0.01,0.02,-189.43,682.44,-0.00329218,-0.002270441,,
1694,14,Hassell 1971 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Nemeritis canescens ,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Almond moth,Ephestia cautella,3rd instar,2,Mean,N,,25,Y,1,5.04E+02,,,,https://en.wikipedia.org/wiki/Ichneumonoidea,,4.16E+00,Alternate genus mass,1,1699,0.83,159.29,1.13E-02,9.85E-03,1.25E-02,2.83E-10,1.11E-10,5.78E-10,,,0,0.03,-98.72,0,0.04,1260.07,-97.33,0,0.04,-98.09,631.46,-0.006399853,-0.014067067,,
1695,14,Hassell 1971 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Nemeritis canescens ,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Almond moth,Ephestia cautella,3rd instar,2,Mean,N,,25,Y,2,5.04E+02,,,,https://en.wikipedia.org/wiki/Ichneumonoidea,,4.16E+00,Alternate genus mass,1,1700,0.84,105.37,6.43E-03,5.84E-03,7.27E-03,5.06E-10,2.09E-10,9.24E-10,,,0,0.02,-62.31,0,0.02,454.11,-63.72,0,0.02,-63.5,171.78,0.01898842,0.022571593,,
